;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
08:49:57;10.023.812;08:49:57;10.102.184;08:49:57;33;0;08:49:57;14;21;08:49:57;0;08:49:57;0
08:49:58;0.9997176;08:49:58;10.008.639;08:49:58;33;0;08:49:58;14;5;08:49:58;0;08:49:58;0
08:49:59;0.9999163;08:49:59;0.9979026;08:49:59;33;0;08:49:59;14;5;08:49:59;0;08:49:59;0
08:50:00;10.003.811;08:50:00;10.039.287;08:50:00;33;0;08:50:00;14;5;08:50:00;0;08:50:00;0
08:50:01;0.9988917;08:50:01;10.010.257;08:50:01;33;0;08:50:01;14;5;08:50:01;0;08:50:01;0
08:50:02;0.998868;08:50:02;10.000.207;08:50:02;33;0;08:50:02;14;0;08:50:02;0;08:50:02;0
08:50:03;0.9986953;08:50:03;0.9994694;08:50:03;33;0;08:50:03;14;0;08:50:03;0;08:50:03;0
08:50:04;0.9997367;08:50:04;0.9979631;08:50:04;33;0;08:50:04;14;0;08:50:04;0;08:50:04;0
08:50:05;10.018.376;08:50:05;10.002.993;08:50:05;33;0;08:50:05;14;0;08:50:05;0;08:50:05;0
08:50:06;0.9996916;08:50:06;10.021.718;08:50:06;33;0;08:50:06;14;0;08:50:06;0;08:50:06;0
08:50:07;10.003.082;08:50:07;0.9933935;08:50:07;33;0;08:50:07;14;0;08:50:07;0;08:50:07;0
08:50:08;0.9999381;08:50:08;0.9885043;08:50:08;33;0;08:50:08;14;0;08:50:08;0;08:50:08;0
08:50:09;10.020.216;08:50:09;10.009.213;08:50:09;33;0;08:50:09;14;0;08:50:09;0;08:50:09;0
08:50:10;0.9999301;08:50:10;10.072.208;08:50:10;31;0;08:50:10;14;0;08:50:10;0;08:50:10;0
08:50:11;0.9988554;08:50:11;10.048.831;08:50:11;33;0;08:50:11;14;0;08:50:11;0;08:50:11;0
08:50:12;0.9994327;08:50:12;10.047.984;08:50:12;33;0;08:50:12;14;0;08:50:12;0;08:50:12;0
08:50:13;10.012.488;08:50:13;0.9994975;08:50:13;33;0;08:50:13;14;0;08:50:13;0;08:50:13;0
08:50:14;0.9991717;08:50:14;0.998642;08:50:14;33;0;08:50:14;14;0;08:50:14;0;08:50:14;0
08:50:15;0.9983995;08:50:15;0.9995726;08:50:15;33;0;08:50:15;14;0;08:50:15;0;08:50:15;0
08:50:16;10.007.613;08:50:16;10.008.445;08:50:16;33;0;08:50:16;14;0;08:50:16;0;08:50:16;0
08:50:17;10.019.331;08:50:17;0.9985735;08:50:17;33;0;08:50:17;14;0;08:50:17;0;08:50:17;0
08:50:18;0.9993775;08:50:18;0.9992777;08:50:18;33;0;08:50:18;14;0;08:50:18;0;08:50:18;0
08:50:19;0.9988242;08:50:19;10.005.638;08:50:19;33;0;08:50:19;14;0;08:50:19;0;08:50:19;0
08:50:20;10.015.856;08:50:20;0.9982668;08:50:20;33;0;08:50:20;14;0;08:50:20;0;08:50:20;0
08:50:21;10.008.327;08:50:21;10.014.332;08:50:21;33;0;08:50:21;14;0;08:50:21;0;08:50:21;0
08:50:22;0.9998889;08:50:22;10.017.478;08:50:22;33;0;08:50:22;14;0;08:50:22;0;08:50:22;0
